,Acuracia,Arquitetura,F-N,F-P,Funcao_ativ,Taxa_aprend,V-N,V-P,F-Score
0,0.6967967384973792,"(12, 26)",12146,5313,logistic,0.001,3363,7793,0.471659857769708
1,0.6969132207338381,"(9, 29)",12179,5279,logistic,0.003,3393,7763,0.4707130730050934
2,0.7100757134536984,"(21,)",12563,4896,logistic,0.003,3399,7756,0.47047405295562766
3,0.7424577751892836,"(37,)",13516,3943,tanh,0.003,3426,7729,0.4696053710848498
4,0.695282469423413,"(9, 29)",12169,5289,logistic,0.003,3429,7726,0.46952294135521117
5,0.7490972626674433,"(27, 11)",13709,3749,tanh,0.001,3429,7726,0.46952294135521117
6,0.699126383226558,"(21, 17)",12286,5173,logistic,0.003,3436,7719,0.46928291333556255
7,0.7373325567850904,"(36,)",13389,4069,tanh,0.003,3446,7709,0.4689743277771018
8,0.747699475829936,"(29, 9)",13699,3759,tanh,0.003,3459,7696,0.4685540334855403
9,0.7364006988934189,"(30,)",13376,4083,tanh,0.001,3459,7696,0.4685397704788287
